_id,augment_ids,champion_id,win_rate,sample_size,tier,patch_version,updated_at
"1019_1133_2132_7_26.12",1019,1133,2132,7,"0","108","A",26.12,2026-06-27T10:58:39.448Z
"1030_1390_2132_8_26.12",1030,1390,2132,8,"0","634","S",26.12,2026-06-27T10:58:39.448Z
"1030_1098_1390_8_26.12",1030,1098,1390,8,"0","283","S",26.12,2026-06-27T10:58:39.448Z
"1030_1390_2018_8_26.12",1030,1390,2018,8,"0","177","S",26.12,2026-06-27T10:58:39.448Z
"1030_1098_2018_8_26.12",1030,1098,2018,8,"0","171","S",26.12,2026-06-27T10:58:39.448Z
"1030_1318_1390_8_26.12",1030,1318,1390,8,"0","170","S",26.12,2026-06-27T10:58:39.448Z
"1030_1156_2132_8_26.12",1030,1156,2132,8,"0","135","S",26.12,2026-06-27T10:58:39.448Z
"1030_1098_2076_8_26.12",1030,1098,2076,8,"0","124","S",26.12,2026-06-27T10:58:39.448Z
"1098_1156_2132_8_26.12",1098,1156,2132,8,"0","114","S",26.12,2026-06-27T10:58:39.448Z
"1030_1045_1390_8_26.12",1030,1045,1390,8,"0","113","S",26.12,2026-06-27T10:58:39.448Z
"1030_1098_1388_8_26.12",1030,1098,1388,8,"0","112","S",26.12,2026-06-27T10:58:39.448Z
"1318_1390_2132_9_26.12",1318,1390,2132,9,"0","311","S",26.12,2026-06-27T10:58:39.448Z
"1194_1211_2132_9_26.12",1194,1211,2132,9,"0","234","S",26.12,2026-06-27T10:58:39.448Z
"1097_1318_2132_9_26.12",1097,1318,2132,9,"0","195","S",26.12,2026-06-27T10:58:39.448Z
"1030_1318_1390_9_26.12",1030,1318,1390,9,"0","193","S",26.12,2026-06-27T10:58:39.448Z
"1045_1318_1390_9_26.12",1045,1318,1390,9,"0","190","S",26.12,2026-06-27T10:58:39.448Z
"1097_1156_2132_9_26.12",1097,1156,2132,9,"0","156","S",26.12,2026-06-27T10:58:39.448Z
"1045_1097_1390_9_26.12",1045,1097,1390,9,"0","136","S",26.12,2026-06-27T10:58:39.448Z
"1133_1390_2132_9_26.12",1133,1390,2132,9,"0","136","S",26.12,2026-06-27T10:58:39.448Z
"1030_1211_1318_9_26.12",1030,1211,1318,9,"0","136","S",26.12,2026-06-27T10:58:39.448Z
"1156_1211_1318_9_26.12",1156,1211,1318,9,"0","130","S",26.12,2026-06-27T10:58:39.448Z
"1054_1129_2132_10_26.12",1054,1129,2132,10,"0","555","S",26.12,2026-06-27T10:58:40.147Z
"1054_1071_2132_10_26.12",1054,1071,2132,10,"0","528","S",26.12,2026-06-27T10:58:40.147Z
"1029_1071_1115_10_26.12",1029,1071,1115,10,"0","362","S",26.12,2026-06-27T10:58:40.147Z
"1054_1087_1129_10_26.12",1054,1087,1129,10,"0","296","S",26.12,2026-06-27T10:58:40.147Z
"1029_1054_1129_10_26.12",1029,1054,1129,10,"0","289","S",26.12,2026-06-27T10:58:40.147Z
"1022_1054_2132_10_26.12",1022,1054,2132,10,"0","261","S",26.12,2026-06-27T10:58:40.147Z
"1029_1054_1071_10_26.12",1029,1054,1071,10,"0","253","S",26.12,2026-06-27T10:58:40.147Z
"1051_1129_1225_10_26.12",1051,1129,1225,10,"0","246","S",26.12,2026-06-27T10:58:40.147Z
"1054_1129_1225_10_26.12",1054,1129,1225,10,"0","245","S",26.12,2026-06-27T10:58:40.147Z
"1029_1071_1170_10_26.12",1029,1071,1170,10,"0","236","S",26.12,2026-06-27T10:58:40.147Z
"1058_1087_2096_11_26.12",1058,1087,2096,11,"0","272","S",26.12,2026-06-27T10:58:40.147Z
"1007_1336_2096_11_26.12",1007,1336,2096,11,"0","212","S",26.12,2026-06-27T10:58:40.147Z
"1079_1326_2096_11_26.12",1079,1326,2096,11,"0","168","S",26.12,2026-06-27T10:58:40.147Z
"1019_1058_2096_11_26.12",1019,1058,2096,11,"0","160","S",26.12,2026-06-27T10:58:40.147Z
"1007_1079_2096_11_26.12",1007,1079,2096,11,"0","157","S",26.12,2026-06-27T10:58:40.147Z
"1019_1058_1138_11_26.12",1019,1058,1138,11,"0","156","S",26.12,2026-06-27T10:58:40.147Z
"1058_1344_2096_11_26.12",1058,1344,2096,11,"0","155","S",26.12,2026-06-27T10:58:40.147Z
"1058_1112_2096_11_26.12",1058,1112,2096,11,"0","152","S",26.12,2026-06-27T10:58:40.147Z
