_id,champion_id,item_id,win_rate,pick_rate,sample_size,tier,patch_version,updated_at
"2_3742_26.12",2,3742,40.91,0.71,132,"C","26.12","2026-06-27T10:58:38.106Z"
"2_3748_26.12",2,3748,46.59,2.2,410,"B","26.12","2026-06-27T10:58:38.106Z"
"2_4401_26.12",2,4401,50.66,1.62,302,"B","26.12","2026-06-27T10:58:38.106Z"
"2_6333_26.12",2,6333,49.71,54.46,10139,"S","26.12","2026-06-27T10:58:38.106Z"
"2_6609_26.12",2,6609,41.14,0.85,158,"C","26.12","2026-06-27T10:58:38.106Z"
"2_6610_26.12",2,6610,48.08,19.07,3550,"S","26.12","2026-06-27T10:58:38.106Z"
"2_6631_26.12",2,6631,48.97,57.55,10714,"S","26.12","2026-06-27T10:58:38.106Z"
"2_6664_26.12",2,6664,44.21,0.51,95,"D","26.12","2026-06-27T10:58:38.106Z"
"2_6665_26.12",2,6665,47.31,1.4,260,"B","26.12","2026-06-27T10:58:38.106Z"
"2_6672_26.12",2,6672,49.52,0.56,105,"D","26.12","2026-06-27T10:58:38.106Z"
"2_6673_26.12",2,6673,54.37,0.55,103,"D","26.12","2026-06-27T10:58:38.106Z"
"2_6675_26.12",2,6675,51.31,1.03,191,"C","26.12","2026-06-27T10:58:38.106Z"
"2_6676_26.12",2,6676,44.87,2.51,468,"B","26.12","2026-06-27T10:58:38.106Z"
"2_6692_26.12",2,6692,47.17,0.28,53,"D","26.12","2026-06-27T10:58:38.106Z"
"2_6695_26.12",2,6695,53.66,0.66,123,"C","26.12","2026-06-27T10:58:38.106Z"
"2_6696_26.12",2,6696,59.62,0.28,52,"D","26.12","2026-06-27T10:58:38.106Z"
"2_126697_26.12",2,126697,46.57,1.1,204,"C","26.12","2026-06-27T10:58:38.106Z"
"2_220013_26.12",2,220013,50.98,57.82,10765,"S","26.12","2026-06-27T10:58:38.106Z"
"2_223069_26.12",2,223069,53.45,3.2,595,"A","26.12","2026-06-27T10:58:38.106Z"
"3_1001_26.12",3,1001,56.64,2.57,1476,"A","26.12","2026-06-27T10:58:38.106Z"
"3_1006_26.12",3,1006,55.15,0.57,330,"C","26.12","2026-06-27T10:58:38.106Z"
"3_1011_26.12",3,1011,57.66,9.33,5359,"A","26.12","2026-06-27T10:58:38.106Z"
"3_1026_26.12",3,1026,52.03,0.26,148,"D","26.12","2026-06-27T10:58:38.106Z"
"3_1028_26.12",3,1028,56.98,6.69,3842,"A","26.12","2026-06-27T10:58:38.106Z"
"3_1029_26.12",3,1029,58.28,3.17,1824,"A","26.12","2026-06-27T10:58:38.106Z"
"3_1031_26.12",3,1031,54.28,6.1,3504,"A","26.12","2026-06-27T10:58:38.106Z"
"3_1033_26.12",3,1033,56.15,1.68,967,"B","26.12","2026-06-27T10:58:38.106Z"
"3_1052_26.12",3,1052,59.64,1.64,944,"B","26.12","2026-06-27T10:58:38.106Z"
"3_1057_26.12",3,1057,55.82,2.9,1666,"A","26.12","2026-06-27T10:58:38.106Z"
"3_1058_26.12",3,1058,50.76,1.61,924,"B","26.12","2026-06-27T10:58:38.106Z"
"3_2003_26.12",3,2003,26.87,0.23,134,"D","26.12","2026-06-27T10:58:38.106Z"
"3_2021_26.12",3,2021,64.97,0.31,177,"C","26.12","2026-06-27T10:58:38.106Z"
"3_2022_26.12",3,2022,60.49,0.85,491,"C","26.12","2026-06-27T10:58:38.106Z"
"3_2031_26.12",3,2031,54.75,1.1,632,"B","26.12","2026-06-27T10:58:38.106Z"
"3_2051_26.12",3,2051,51.48,0.71,406,"C","26.12","2026-06-27T10:58:38.106Z"
"3_2052_26.12",3,2052,53.53,24.19,13898,"S","26.12","2026-06-27T10:58:38.106Z"
"3_2420_26.12",3,2420,43.16,0.17,95,"D","26.12","2026-06-27T10:58:38.106Z"
"3_2421_26.12",3,2421,59.32,0.1,59,"D","26.12","2026-06-27T10:58:38.106Z"
"3_2501_26.12",3,2501,51.41,1.49,854,"B","26.12","2026-06-27T10:58:38.106Z"
"3_2502_26.12",3,2502,52.89,46.09,26481,"S","26.12","2026-06-27T10:58:38.106Z"
"3_2503_26.12",3,2503,51.69,1.44,828,"B","26.12","2026-06-27T10:58:38.106Z"
"3_2504_26.12",3,2504,52.63,13.51,7765,"S","26.12","2026-06-27T10:58:38.106Z"
"3_2508_26.12",3,2508,54.36,0.42,241,"C","26.12","2026-06-27T10:58:38.106Z"
"3_2510_26.12",3,2510,51.43,0.37,210,"C","26.12","2026-06-27T10:58:38.106Z"
"3_2524_26.12",3,2524,56.96,0.14,79,"D","26.12","2026-06-27T10:58:38.106Z"
"3_2525_26.12",3,2525,51.9,0.6,343,"C","26.12","2026-06-27T10:58:38.106Z"
"3_3003_26.12",3,3003,49.25,0.12,67,"D","26.12","2026-06-27T10:58:38.106Z"
"3_3008_26.12",3,3008,56.7,0.96,552,"B","26.12","2026-06-27T10:58:38.106Z"
"3_3009_26.12",3,3009,52.52,0.55,318,"C","26.12","2026-06-27T10:58:38.106Z"
"3_3020_26.12",3,3020,52.86,2.98,1712,"A","26.12","2026-06-27T10:58:38.106Z"
"3_3024_26.12",3,3024,51.06,0.25,141,"D","26.12","2026-06-27T10:58:38.106Z"
"3_3039_26.12",3,3039,56.14,0.1,57,"D","26.12","2026-06-27T10:58:38.106Z"
"3_3040_26.12",3,3040,53.14,0.94,542,"B","26.12","2026-06-27T10:58:38.106Z"
"3_3047_26.12",3,3047,51.08,20.08,11536,"S","26.12","2026-06-27T10:58:38.106Z"
"3_3050_26.12",3,3050,53.95,0.13,76,"D","26.12","2026-06-27T10:58:38.106Z"
"3_3057_26.12",3,3057,58.57,0.12,70,"D","26.12","2026-06-27T10:58:38.106Z"
"3_3065_26.12",3,3065,53.24,6.04,3469,"A","26.12","2026-06-27T10:58:38.106Z"
"3_3066_26.12",3,3066,60.58,0.18,104,"D","26.12","2026-06-27T10:58:38.106Z"
"3_3067_26.12",3,3067,55.06,3.22,1849,"A","26.12","2026-06-27T10:58:38.106Z"
"3_3068_26.12",3,3068,52.19,6.15,3531,"A","26.12","2026-06-27T10:58:38.106Z"
"3_3070_26.12",3,3070,51.54,5.2,2988,"A","26.12","2026-06-27T10:58:38.106Z"
"3_3075_26.12",3,3075,49.4,42.37,24348,"S","26.12","2026-06-27T10:58:38.106Z"
"3_3076_26.12",3,3076,52.61,6.21,3570,"A","26.12","2026-06-27T10:58:38.106Z"
"3_3082_26.12",3,3082,48.55,2.46,1413,"A","26.12","2026-06-27T10:58:38.106Z"
"3_3083_26.12",3,3083,54.66,41.43,23807,"S","26.12","2026-06-27T10:58:38.106Z"
"3_3084_26.12",3,3084,53.24,82.82,47588,"S","26.12","2026-06-27T10:58:38.106Z"
"3_3089_26.12",3,3089,51.73,5.02,2886,"A","26.12","2026-06-27T10:58:38.106Z"
"3_3100_26.12",3,3100,48.25,0.84,485,"C","26.12","2026-06-27T10:58:38.106Z"
"3_3102_26.12",3,3102,52.28,0.42,241,"C","26.12","2026-06-27T10:58:38.106Z"
"3_3108_26.12",3,3108,57.31,1.06,609,"B","26.12","2026-06-27T10:58:38.106Z"
"3_3109_26.12",3,3109,54.65,0.3,172,"C","26.12","2026-06-27T10:58:38.106Z"
"3_3110_26.12",3,3110,47.62,5.41,3108,"A","26.12","2026-06-27T10:58:38.106Z"
"3_3111_26.12",3,3111,53.3,54.36,31238,"S","26.12","2026-06-27T10:58:38.106Z"
"3_3112_26.12",3,3112,60.34,0.1,58,"D","26.12","2026-06-27T10:58:38.106Z"
"3_3113_26.12",3,3113,52.05,0.13,73,"D","26.12","2026-06-27T10:58:38.106Z"
"3_3115_26.12",3,3115,54.55,0.13,77,"D","26.12","2026-06-27T10:58:38.106Z"
"3_3116_26.12",3,3116,46.96,0.86,494,"C","26.12","2026-06-27T10:58:38.106Z"
"3_3118_26.12",3,3118,50.67,0.39,223,"C","26.12","2026-06-27T10:58:38.106Z"
"3_3119_26.12",3,3119,47.53,1.55,890,"B","26.12","2026-06-27T10:58:38.106Z"
"3_3121_26.12",3,3121,51.45,24.86,14283,"S","26.12","2026-06-27T10:58:38.106Z"
"3_3135_26.12",3,3135,51.49,1.23,707,"B","26.12","2026-06-27T10:58:38.106Z"
"3_3137_26.12",3,3137,58.27,0.22,127,"D","26.12","2026-06-27T10:58:38.106Z"
"3_3143_26.12",3,3143,46.73,12.78,7344,"S","26.12","2026-06-27T10:58:38.106Z"
"3_3145_26.12",3,3145,54.38,0.38,217,"C","26.12","2026-06-27T10:58:38.106Z"
"3_3147_26.12",3,3147,59.21,2.16,1243,"B","26.12","2026-06-27T10:58:38.106Z"
"3_3152_26.12",3,3152,49.84,1.64,945,"B","26.12","2026-06-27T10:58:38.106Z"
