_id,champion_id,augment_id,stage,win_rate,sample_size,tier,patch_version,updated_at
"1081_15_global_26.12",,1081,15,50.96,36200,"A","26.12","2026-06-27T10:48:15.368Z"
"1081_18_global_26.12",,1081,18,66.67,54,"B","26.12","2026-06-27T10:48:15.368Z"
"2127_3_global_26.12",,2127,3,50.49,28153,"B","26.12","2026-06-27T10:48:15.368Z"
"2127_7_global_26.12",,2127,7,49.94,31575,"B","26.12","2026-06-27T10:48:15.368Z"
"2127_11_global_26.12",,2127,11,49.95,41402,"B","26.12","2026-06-27T10:48:15.368Z"
"2127_15_global_26.12",,2127,15,49.1,36643,"B","26.12","2026-06-27T10:48:15.368Z"
"2127_18_global_26.12",,2127,18,61.4,57,"C","26.12","2026-06-27T10:48:15.368Z"
"2116_3_global_26.12",,2116,3,46.38,12486,"D","26.12","2026-06-27T10:48:15.368Z"
"2116_7_global_26.12",,2116,7,45.09,16910,"D","26.12","2026-06-27T10:48:15.368Z"
"2116_11_global_26.12",,2116,11,47.9,22841,"C","26.12","2026-06-27T10:48:15.368Z"
"2116_15_global_26.12",,2116,15,46.33,23673,"D","26.12","2026-06-27T10:48:15.368Z"
"1180_3_global_26.12",,1180,3,52.33,19507,"A","26.12","2026-06-27T10:48:15.368Z"
"1180_7_global_26.12",,1180,7,51.46,60611,"A","26.12","2026-06-27T10:48:15.368Z"
"1180_11_global_26.12",,1180,11,51.95,60138,"A","26.12","2026-06-27T10:48:15.368Z"
"1180_15_global_26.12",,1180,15,50.87,58933,"A","26.12","2026-06-27T10:48:15.368Z"
"2096_3_global_26.12",,2096,3,48.7,63791,"C","26.12","2026-06-27T10:48:15.368Z"
"2096_7_global_26.12",,2096,7,47.31,2253,"C","26.12","2026-06-27T10:48:15.368Z"
"2096_11_global_26.12",,2096,11,47.26,3415,"D","26.12","2026-06-27T10:48:15.368Z"
"2096_15_global_26.12",,2096,15,46.85,3274,"D","26.12","2026-06-27T10:48:15.368Z"
"1415_3_global_26.12",,1415,3,47.3,6317,"C","26.12","2026-06-27T10:48:15.368Z"
"1415_7_global_26.12",,1415,7,49.21,567,"B","26.12","2026-06-27T10:48:15.368Z"
"1415_11_global_26.12",,1415,11,45.65,758,"D","26.12","2026-06-27T10:48:15.368Z"
"1415_15_global_26.12",,1415,15,44.8,1096,"D","26.12","2026-06-27T10:48:15.368Z"
"1004_3_global_26.12",,1004,3,51.14,40922,"B","26.12","2026-06-27T10:48:15.368Z"
"1004_7_global_26.12",,1004,7,49.38,42263,"B","26.12","2026-06-27T10:48:15.368Z"
"1004_11_global_26.12",,1004,11,48.64,38613,"B","26.12","2026-06-27T10:48:15.368Z"
"1004_15_global_26.12",,1004,15,47.27,34784,"C","26.12","2026-06-27T10:48:15.368Z"
"1333_3_global_26.12",,1333,3,48.77,23466,"C","26.12","2026-06-27T10:48:15.368Z"
"1333_7_global_26.12",,1333,7,48.69,31856,"B","26.12","2026-06-27T10:48:15.368Z"
"1333_11_global_26.12",,1333,11,49.9,41968,"B","26.12","2026-06-27T10:48:15.368Z"
"1333_15_global_26.12",,1333,15,49,37511,"B","26.12","2026-06-27T10:48:15.368Z"
"1333_18_global_26.12",,1333,18,75.52,241,"S","26.12","2026-06-27T10:48:15.368Z"
"1051_3_global_26.12",,1051,3,57.92,147096,"S","26.12","2026-06-27T10:48:15.368Z"
"1051_7_global_26.12",,1051,7,55.18,106439,"S","26.12","2026-06-27T10:48:15.368Z"
"1051_11_global_26.12",,1051,11,47.83,253,"C","26.12","2026-06-27T10:48:15.368Z"
"1051_15_global_26.12",,1051,15,52.23,157,"A","26.12","2026-06-27T10:48:15.368Z"
"2077_3_global_26.12",,2077,3,54.47,4478,"A","26.12","2026-06-27T10:48:15.368Z"
"2077_7_global_26.12",,2077,7,51.36,6556,"A","26.12","2026-06-27T10:48:15.368Z"
