_id,riot_id,win_rate,pick_rate,champions_count,tier,patch_version,updated_at
"1205",1205,50.78,1.55,54,"B","26.12","2026-06-27T11:00:24.535Z"
"1151",1151,50.77,1.73,36,"B","26.12","2026-06-27T11:00:24.535Z"
"1308",1308,50.71,0.93,80,"B","26.12","2026-06-27T11:00:24.535Z"
"1015",1015,50.67,4.68,10,"B","26.12","2026-06-27T11:00:24.535Z"
"1243",1243,50.66,0.91,111,"B","26.12","2026-06-27T11:00:24.535Z"
"1141",1141,50.65,21.82,13,"B","26.12","2026-06-27T11:00:24.535Z"
"1079",1079,50.6,2.5,57,"B","26.12","2026-06-27T11:00:24.535Z"
"1358",1358,50.57,0.76,34,"B","26.12","2026-06-27T11:00:24.535Z"
"1007",1007,50.56,11.38,80,"B","26.12","2026-06-27T11:00:24.535Z"
"2103",2103,50.55,11.05,15,"B","26.12","2026-06-27T11:00:24.535Z"
"1404",1404,50.54,0.66,86,"B","26.12","2026-06-27T11:00:24.535Z"
"12317",12317,50.54,0.44,53,"B","26.12","2026-06-27T11:00:24.535Z"
"1206",1206,50.53,3.37,61,"B","26.12","2026-06-27T11:00:24.535Z"
"2018",2018,50.53,4.03,38,"B","26.12","2026-06-27T11:00:24.535Z"
"1057",1057,50.51,0.54,69,"B","26.12","2026-06-27T11:00:24.535Z"
"1061",1061,50.48,1.4,48,"B","26.12","2026-06-27T11:00:24.535Z"
"1237",1237,50.47,2.2,112,"B","26.12","2026-06-27T11:00:24.535Z"
"1170",1170,50.43,4.37,64,"B","26.12","2026-06-27T11:00:24.535Z"
"2129",2129,50.42,23.17,4,"B","26.12","2026-06-27T11:00:24.535Z"
"1416",1416,50.37,0.98,94,"B","26.12","2026-06-27T11:00:24.535Z"
"1034",1034,50.32,0.82,89,"B","26.12","2026-06-27T11:00:24.535Z"
"1421",1421,50.32,0.28,24,"B","26.12","2026-06-27T11:00:24.535Z"
"2118",2118,50.3,0.12,2,"B","26.12","2026-06-27T11:00:24.535Z"
"2083",2083,50.29,3.73,77,"B","26.12","2026-06-27T11:00:24.535Z"
"2125",2125,50.28,1.2,17,"B","26.12","2026-06-27T11:00:24.535Z"
"1020",1020,50.23,5.86,103,"B","26.12","2026-06-27T11:00:24.535Z"
"2004",2004,50.23,16.21,13,"B","26.12","2026-06-27T11:00:24.535Z"
"1331",1331,50.16,5.15,21,"B","26.12","2026-06-27T11:00:24.535Z"
"1103",1103,50.02,2.06,27,"B","26.12","2026-06-27T11:00:24.535Z"
"1301",1301,50.02,2.91,39,"B","26.12","2026-06-27T11:00:24.535Z"
"1048",1048,50.01,6.91,44,"B","26.12","2026-06-27T11:00:24.535Z"
"1067",1067,50,7.36,4,"B","26.12","2026-06-27T11:00:24.535Z"
"2055",2055,49.97,6.64,9,"B","26.12","2026-06-27T11:00:24.535Z"
"1133",1133,49.95,16.72,67,"B","26.12","2026-06-27T11:00:24.535Z"
"1329",1329,49.93,0.69,100,"B","26.12","2026-06-27T11:00:24.535Z"
"1097",1097,49.91,12.73,80,"B","26.12","2026-06-27T11:00:24.535Z"
"1344",1344,49.8,9.78,71,"B","26.12","2026-06-27T11:00:24.535Z"
"1415",1415,49.78,4.94,77,"B","26.12","2026-06-27T11:00:24.535Z"
"2100",2100,49.78,6.28,34,"B","26.12","2026-06-27T11:00:24.535Z"
"2065",2065,49.75,9.62,4,"B","26.12","2026-06-27T11:00:24.535Z"
"2032",2032,49.73,0.85,58,"B","26.12","2026-06-27T11:00:24.535Z"
