_id,augment_ids,champion_id,win_rate,sample_size,tier,patch_version,updated_at
1133_1390_2132_null_26.12,"[1133,1390,2132]",,0,164,S,26.12,2026-06-29T10:17:34.720Z
1029_1071_1195_null_26.12,"[1029,1071,1195]",,0,159,S,26.12,2026-06-29T10:17:34.720Z
1029_1388_1415_null_26.12,"[1029,1388,1415]",,0,153,S,26.12,2026-06-29T10:17:34.720Z
1225_1356_2096_null_26.12,"[1225,1356,2096]",,0,539,S,26.12,2026-06-29T10:17:34.720Z
1071_1356_2096_null_26.12,"[1071,1356,2096]",,0,486,S,26.12,2026-06-29T10:17:34.720Z
1225_1356_2010_null_26.12,"[1225,1356,2010]",,0,460,S,26.12,2026-06-29T10:17:34.720Z
1225_1336_1356_null_26.12,"[1225,1336,1356]",,0,455,S,26.12,2026-06-29T10:17:34.720Z
1071_1225_1356_null_26.12,"[1071,1225,1356]",,0,398,S,26.12,2026-06-29T10:17:34.720Z
1077_1225_1356_null_26.12,"[1077,1225,1356]",,0,378,S,26.12,2026-06-29T10:17:34.720Z
1022_1225_1356_null_26.12,"[1022,1225,1356]",,0,361,S,26.12,2026-06-29T10:17:34.720Z
1336_1356_2010_null_26.12,"[1336,1356,2010]",,0,344,S,26.12,2026-06-29T10:17:34.720Z
1022_1225_1336_null_26.12,"[1022,1225,1336]",,0,327,S,26.12,2026-06-29T10:17:34.720Z
1225_1328_1356_null_26.12,"[1225,1328,1356]",,0,316,S,26.12,2026-06-29T10:17:34.720Z
1041_1181_1353_null_26.12,"[1041,1181,1353]",,0,113,S,26.12,2026-06-29T10:17:34.720Z
1181_1353_2006_null_26.12,"[1181,1353,2006]",,0,163,B,26.12,2026-06-29T10:17:34.720Z
1020_1181_1353_null_26.12,"[1020,1181,1353]",,0,103,C,26.12,2026-06-29T10:17:34.720Z
1013_1353_2006_null_26.12,"[1013,1353,2006]",,0,116,S,26.12,2026-06-29T10:17:34.720Z
1030_1113_1133_null_26.12,"[1030,1113,1133]",,0,416,S,26.12,2026-06-29T10:17:34.720Z
1030_1133_1415_null_26.12,"[1030,1133,1415]",,0,305,S,26.12,2026-06-29T10:17:34.720Z
1048_1113_1390_null_26.12,"[1048,1113,1390]",,0,295,S,26.12,2026-06-29T10:17:34.720Z
1077_1195_1356_null_26.12,"[1077,1195,1356]",,0,276,S,26.12,2026-06-29T10:17:34.720Z
1320_1336_1356_null_26.12,"[1320,1336,1356]",,0,275,S,26.12,2026-06-29T10:17:34.720Z
1115_1336_1356_null_26.12,"[1115,1336,1356]",,0,273,S,26.12,2026-06-29T10:17:34.720Z
1328_1336_1356_null_26.12,"[1328,1336,1356]",,0,254,S,26.12,2026-06-29T10:17:34.720Z
1048_1133_2009_null_26.12,"[1048,1133,2009]",,0,248,S,26.12,2026-06-29T10:17:34.720Z
1030_1113_2103_null_26.12,"[1030,1113,2103]",,0,247,S,26.12,2026-06-29T10:17:34.720Z
1113_1133_1195_null_26.12,"[1113,1133,1195]",,0,244,S,26.12,2026-06-29T10:17:34.720Z
1225_1356_2010_null_26.12,"[1225,1356,2010]",,0,891,S,26.12,2026-06-29T10:17:34.720Z
1022_1225_1356_null_26.12,"[1022,1225,1356]",,0,670,S,26.12,2026-06-29T10:17:34.720Z
1071_1225_1356_null_26.12,"[1071,1225,1356]",,0,668,S,26.12,2026-06-29T10:17:34.720Z
1022_1356_2096_null_26.12,"[1022,1356,2096]",,0,639,S,26.12,2026-06-29T10:17:34.720Z
1081_1356_2010_null_26.12,"[1081,1356,2010]",,0,528,S,26.12,2026-06-29T10:17:34.720Z
1071_1081_1356_null_26.12,"[1071,1081,1356]",,0,510,S,26.12,2026-06-29T10:17:34.720Z
1022_1071_1081_null_26.12,"[1022,1071,1081]",,0,502,S,26.12,2026-06-29T10:17:34.720Z
1022_1356_2010_null_26.12,"[1022,1356,2010]",,0,497,S,26.12,2026-06-29T10:17:34.720Z
1022_1336_1356_null_26.12,"[1022,1336,1356]",,0,496,S,26.12,2026-06-29T10:17:34.720Z
1051_1225_1356_null_26.12,"[1051,1225,1356]",,0,495,S,26.12,2026-06-29T10:17:34.720Z
1007_1336_2096_null_26.12,"[1007,1336,2096]",,0,171,S,26.12,2026-06-29T10:17:34.720Z
1007_1322_1336_null_26.12,"[1007,1322,1336]",,0,122,S,26.12,2026-06-29T10:17:34.720Z
1088_1322_2096_null_26.12,"[1088,1322,2096]",,0,110,S,26.12,2026-06-29T10:17:34.720Z
1007_1058_2096_null_26.12,"[1007,1058,2096]",,0,109,S,26.12,2026-06-29T10:17:34.720Z
1138_1336_2096_null_26.12,"[1138,1336,2096]",,0,180,B,26.12,2026-06-29T10:17:34.720Z
1322_1336_2096_null_26.12,"[1322,1336,2096]",,0,172,B,26.12,2026-06-29T10:17:34.720Z
1081_1336_2096_null_26.12,"[1081,1336,2096]",,0,166,B,26.12,2026-06-29T10:17:34.720Z
1007_1081_1336_null_26.12,"[1007,1081,1336]",,0,102,B,26.12,2026-06-29T10:17:34.720Z
1058_1322_2096_null_26.12,"[1058,1322,2096]",,0,169,D,26.12,2026-06-29T10:17:34.720Z
1007_1081_2096_null_26.12,"[1007,1081,2096]",,0,141,D,26.12,2026-06-29T10:17:34.720Z
1058_1996_2111_null_26.12,"[1058,1996,2111]",,0,506,S,26.12,2026-06-29T10:17:34.720Z
1058_1138_2111_null_26.12,"[1058,1138,2111]",,0,499,S,26.12,2026-06-29T10:17:34.720Z
1344_1996_2111_null_26.12,"[1344,1996,2111]",,0,299,S,26.12,2026-06-29T10:17:34.720Z
1138_1322_2111_null_26.12,"[1138,1322,2111]",,0,228,S,26.12,2026-06-29T10:17:34.720Z
1058_1996_2096_null_26.12,"[1058,1996,2096]",,0,140,S,26.12,2026-06-29T10:17:34.720Z
1007_1344_2111_null_26.12,"[1007,1344,2111]",,0,120,S,26.12,2026-06-29T10:17:34.720Z
1007_1344_1996_null_26.12,"[1007,1344,1996]",,0,115,S,26.12,2026-06-29T10:17:34.720Z
1138_1996_2111_null_26.12,"[1138,1996,2111]",,0,572,A,26.12,2026-06-29T10:17:34.720Z
1058_1138_1996_null_26.12,"[1058,1138,1996]",,0,452,B,26.12,2026-06-29T10:17:34.720Z
1138_1344_2111_null_26.12,"[1138,1344,2111]",,0,323,B,26.12,2026-06-29T10:17:34.720Z
1030_1113_1136_null_26.12,"[1030,1113,1136]",,0,364,S,26.12,2026-06-29T10:17:34.720Z
1030_1133_1390_null_26.12,"[1030,1133,1390]",,0,346,S,26.12,2026-06-29T10:17:34.720Z
1030_1044_1390_null_26.12,"[1030,1044,1390]",,0,249,S,26.12,2026-06-29T10:17:34.720Z
1044_1113_1390_null_26.12,"[1044,1113,1390]",,0,239,S,26.12,2026-06-29T10:17:34.720Z
1030_1098_1133_null_26.12,"[1030,1098,1133]",,0,204,S,26.12,2026-06-29T10:17:34.720Z
1113_1133_1388_null_26.12,"[1113,1133,1388]",,0,178,S,26.12,2026-06-29T10:17:34.720Z
1030_1097_1098_null_26.12,"[1030,1097,1098]",,0,177,S,26.12,2026-06-29T10:17:34.720Z
1030_1097_2103_null_26.12,"[1030,1097,2103]",,0,172,S,26.12,2026-06-29T10:17:34.720Z
1030_1097_2100_null_26.12,"[1030,1097,2100]",,0,169,S,26.12,2026-06-29T10:17:34.720Z
1030_1098_1136_null_26.12,"[1030,1098,1136]",,0,165,S,26.12,2026-06-29T10:17:34.720Z
1030_1097_1098_null_26.12,"[1030,1097,1098]",,0,274,S,26.12,2026-06-29T10:17:34.720Z
1030_1098_2087_null_26.12,"[1030,1098,2087]",,0,230,S,26.12,2026-06-29T10:17:34.720Z
